reference,edition_id,sender_id,sender,receiver_id,receiver,date,place_id,place
https://edition-humboldt.de/H0016557,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,http://d-nb.info/gnd/118554700,Alexander von Humboldt,1848-10-30,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0019603,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118759086,Sir Robert Hermann Schomburgk,1848-10-31,http://sws.geonames.org/6295638,Sanssouci
https://edition-humboldt.de/H0000700,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/115674667,Carl Sigismund Kunth,1848-11-02,http://sws.geonames.org/2852458,Potsdam
https://edition-humboldt.de/H0016515,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,http://d-nb.info/gnd/118554700,Alexander von Humboldt,1848-11-23,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0000608,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/115674667,Carl Sigismund Kunth,1848-11-24,http://sws.geonames.org/2852458,Potsdam
https://edition-humboldt.de/H0019594,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/116911921,Otto Alfred Schomburgk,1848-12-07,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0019593,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/116911921,Otto Alfred Schomburgk,http://d-nb.info/gnd/118554700,Alexander von Humboldt,1849-01-10,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0000009,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/115674667,Carl Sigismund Kunth,1849-01-11,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0015159,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/115674667,Carl Sigismund Kunth,http://d-nb.info/gnd/118554700,Alexander von Humboldt,1849-01-13,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0005461,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/115674667,Carl Sigismund Kunth,http://d-nb.info/gnd/118554700,Alexander von Humboldt,1849-02-01,,
https://edition-humboldt.de/H0006046,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/115674667,Carl Sigismund Kunth,1849-02-02,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0016558,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,http://d-nb.info/gnd/118554700,Alexander von Humboldt,1849-02-10,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0019596,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/116911921,Otto Alfred Schomburgk,http://d-nb.info/gnd/118554700,Alexander von Humboldt,1849-03-21,http://sws.geonames.org/2911298,Hamburg
https://edition-humboldt.de/H0016582,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,1849-05-09,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0016592,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,1849-05-26,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0016462,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118755234,Adolph von Schlagintweit,1849-06-21,http://sws.geonames.org/2852458,Potsdam
https://edition-humboldt.de/H0016593,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,1849-08-15,http://sws.geonames.org/2852458,Potsdam
https://edition-humboldt.de/H0016596,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,1849-08-23,http://sws.geonames.org/2852458,Potsdam
